Datetime,Temperature
2023-04-22 16:35:17,33.6
2023-04-22 16:40:17,33.1
2023-04-22 16:45:17,33.6
2023-04-22 16:50:17,33.1
2023-04-22 16:55:17,33.1
2023-04-22 17:00:17,34.0
2023-04-22 17:05:17,33.6
2023-04-22 17:10:17,33.1
2023-04-22 17:15:17,33.6
2023-04-22 17:20:17,34.0
2023-04-22 17:25:17,33.6
2023-04-22 17:30:17,33.6
2023-04-22 17:35:17,33.1
2023-04-22 17:40:17,33.1
2023-04-22 17:45:17,33.6
2023-04-22 17:50:17,33.1
2023-04-22 17:55:17,32.6
2023-04-22 18:00:17,33.6
2023-04-22 18:05:17,33.1
2023-04-22 18:10:17,33.1
2023-04-22 18:15:17,33.1
2023-04-22 18:20:17,33.1
2023-04-22 18:25:17,33.1
2023-04-22 18:30:18,33.1
2023-04-22 18:35:18,32.6
2023-04-22 18:40:18,33.1
2023-04-22 18:45:18,32.6
2023-04-22 18:50:18,32.6
2023-04-22 18:55:18,33.6
2023-04-22 19:00:18,33.6
2023-04-22 19:05:18,33.1
2023-04-22 19:10:18,32.1
2023-04-22 19:15:18,31.6
2023-04-22 19:20:18,33.6
2023-04-22 19:25:18,32.1
2023-04-22 19:30:18,33.6
2023-04-22 19:35:18,32.6
2023-04-22 19:40:18,33.1
2023-04-22 19:45:18,33.1
2023-04-22 19:50:18,32.1
2023-04-22 19:55:18,33.6
2023-04-22 20:00:18,32.6
2023-04-22 20:05:18,33.1
2023-04-22 20:10:18,33.1
2023-04-22 20:15:18,32.6
2023-04-22 20:20:18,33.6
2023-04-22 20:25:18,32.1
2023-04-22 20:30:18,33.6
2023-04-22 20:35:18,32.6
2023-04-22 20:40:18,32.6
2023-04-22 20:45:18,33.6
2023-04-22 20:50:18,32.6
2023-04-22 20:55:18,33.6
2023-04-22 21:00:18,32.6
2023-04-22 21:05:18,33.1
2023-04-22 21:10:18,33.1
2023-04-22 21:15:19,33.1
2023-04-22 21:20:19,33.1
2023-04-22 21:25:19,33.1
2023-04-22 21:30:19,31.6
2023-04-22 21:35:19,32.6
2023-04-22 21:40:19,32.6
2023-04-22 21:45:19,33.1
2023-04-22 21:50:19,32.1
2023-04-22 21:55:19,34.0
2023-04-22 22:00:19,32.1
2023-04-22 22:05:19,32.6
2023-04-22 22:10:19,33.6
2023-04-22 22:15:19,33.6
2023-04-22 22:20:19,32.6
2023-04-22 22:25:19,33.6
2023-04-22 22:30:19,32.6
2023-04-22 22:35:19,33.1
2023-04-22 22:40:19,33.1
2023-04-22 22:45:19,33.6
2023-04-22 22:50:19,31.1
2023-04-22 22:55:19,29.2
2023-04-22 23:00:19,30.1
2023-04-22 23:05:19,30.6
2023-04-22 23:10:19,29.2
2023-04-22 23:15:19,30.1
2023-04-22 23:20:19,30.1
2023-04-22 23:25:19,29.7
2023-04-22 23:30:19,31.1
2023-04-22 23:35:19,29.7
2023-04-22 23:40:19,29.2
2023-04-22 23:45:19,30.1
2023-04-22 23:50:19,28.7
2023-04-22 23:55:19,29.7
2023-04-23 00:00:20,29.2
2023-04-23 00:05:20,29.7
2023-04-23 00:10:20,28.7
2023-04-23 00:15:20,29.2
2023-04-23 00:20:20,29.2
2023-04-23 00:25:20,28.7
2023-04-23 00:30:20,29.7
2023-04-23 00:35:20,29.2
2023-04-23 00:40:20,29.2
2023-04-23 00:45:20,29.2
2023-04-23 00:50:20,27.7
2023-04-23 00:55:20,28.2
2023-04-23 01:00:20,30.1
2023-04-23 01:05:20,29.2
2023-04-23 01:10:20,28.2
2023-04-23 01:15:20,29.2
2023-04-23 01:20:20,28.2
2023-04-23 01:25:20,29.2
2023-04-23 01:30:20,29.2
2023-04-23 01:35:20,28.2
2023-04-23 01:40:20,28.7
2023-04-23 01:45:20,28.2
2023-04-23 01:50:20,29.2
2023-04-23 01:55:20,28.7
2023-04-23 02:00:20,28.7
2023-04-23 02:05:20,28.7
2023-04-23 02:10:20,29.2
2023-04-23 02:15:20,28.2
2023-04-23 02:20:20,28.2
2023-04-23 02:25:20,27.7
2023-04-23 02:30:20,28.7
2023-04-23 02:35:20,28.7
2023-04-23 02:40:20,28.2
2023-04-23 02:45:20,27.7
2023-04-23 02:50:21,29.2
2023-04-23 02:55:21,28.2
2023-04-23 03:00:21,30.1
2023-04-23 03:05:21,31.1
2023-04-23 03:10:21,32.1
2023-04-23 03:15:21,31.1
2023-04-23 03:20:21,31.6
2023-04-23 03:25:21,32.1
2023-04-23 03:30:21,32.1
2023-04-23 03:35:21,31.6
2023-04-23 03:40:21,32.6
2023-04-23 03:45:21,32.6
2023-04-23 03:50:21,31.6
2023-04-23 03:55:21,32.1
2023-04-23 04:00:21,33.6
2023-04-23 04:05:21,31.6
2023-04-23 04:10:21,32.6
2023-04-23 04:15:21,32.1
2023-04-23 04:20:21,32.1
2023-04-23 04:25:21,32.6
2023-04-23 04:30:21,31.6
2023-04-23 04:35:21,32.1
2023-04-23 04:40:21,31.6
2023-04-23 04:45:21,31.6
2023-04-23 04:50:21,33.1
2023-04-23 04:55:21,32.6
2023-04-23 05:00:21,32.6
2023-04-23 05:05:21,32.6
2023-04-23 05:10:21,31.1
2023-04-23 05:15:21,32.1
2023-04-23 05:20:21,32.1
2023-04-23 05:25:21,32.1
2023-04-23 05:30:21,32.1
2023-04-23 05:35:22,33.1
2023-04-23 05:40:22,32.6
2023-04-23 05:45:22,33.1
2023-04-23 05:50:22,32.6
2023-04-23 05:55:22,33.1
2023-04-23 06:00:22,33.1
2023-04-23 06:05:22,32.6
2023-04-23 06:10:22,32.6
2023-04-23 06:15:22,32.6
2023-04-23 06:20:22,33.6
2023-04-23 06:25:22,32.6
2023-04-23 06:30:22,32.1
2023-04-23 06:35:22,32.6
2023-04-23 06:40:22,32.1
2023-04-23 06:45:22,33.1
2023-04-23 06:50:22,32.6
2023-04-23 06:55:22,33.1
2023-04-23 07:00:22,32.6
2023-04-23 07:05:22,33.1
2023-04-23 07:10:22,32.6
2023-04-23 07:15:22,33.1
2023-04-23 07:20:22,32.6
2023-04-23 07:25:22,33.1
2023-04-23 07:30:22,33.6
2023-04-23 07:35:22,33.1
2023-04-23 07:40:22,32.6
2023-04-23 07:45:22,33.6
2023-04-23 07:50:22,33.1
2023-04-23 07:55:22,33.6
2023-04-23 08:00:22,33.1
2023-04-23 08:05:22,32.1
2023-04-23 08:10:22,33.1
2023-04-23 08:15:22,32.6
2023-04-23 08:20:23,32.6
2023-04-23 08:25:23,32.1
2023-04-23 08:30:23,33.1
2023-04-23 08:35:23,33.1
2023-04-23 08:40:23,33.1
2023-04-23 08:45:23,33.1
2023-04-23 08:50:23,33.1
2023-04-23 08:55:23,33.6
2023-04-23 09:00:23,32.1
2023-04-23 09:05:23,31.6
2023-04-23 09:10:23,30.6
2023-04-23 09:15:23,31.6
2023-04-23 09:20:23,30.1
2023-04-23 09:25:23,32.1
2023-04-23 09:30:23,32.1
2023-04-23 09:35:23,31.1
2023-04-23 09:40:23,30.6
2023-04-23 09:45:23,31.1
2023-04-23 09:50:23,31.1
2023-04-23 09:55:23,31.6
2023-04-23 10:00:23,31.1
2023-04-23 10:05:23,30.1
2023-04-23 10:10:23,32.1
2023-04-23 10:15:23,30.1
2023-04-23 10:20:23,31.1
2023-04-23 10:25:23,31.6
2023-04-23 10:30:23,31.1
2023-04-23 10:35:23,30.1
2023-04-23 10:40:23,31.1
2023-04-23 10:45:23,32.6
2023-04-23 10:50:23,31.6
2023-04-23 10:55:23,30.6
2023-04-23 11:00:23,31.1
2023-04-23 11:05:23,31.6
2023-04-23 11:10:24,31.1
2023-04-23 11:15:24,31.1
2023-04-23 11:20:24,32.1
2023-04-23 11:25:24,31.1
2023-04-23 11:30:24,30.6
2023-04-23 11:35:24,32.1
2023-04-23 11:40:24,33.1
2023-04-23 11:45:24,31.6
2023-04-23 11:50:24,32.6
2023-04-23 11:55:24,32.1
2023-04-23 12:00:24,31.1
2023-04-23 12:05:24,31.6
2023-04-23 12:10:24,32.1
2023-04-23 12:15:24,31.1
2023-04-23 12:20:24,32.1
2023-04-23 12:25:24,31.6
2023-04-23 12:30:24,32.1
2023-04-23 12:35:24,31.6
2023-04-23 12:40:24,32.1
2023-04-23 12:45:24,33.1
2023-04-23 12:50:24,31.6
2023-04-23 12:55:24,31.6
2023-04-23 13:00:24,31.6
2023-04-23 13:05:24,31.6
2023-04-23 13:10:24,31.1
2023-04-23 13:15:24,32.1
2023-04-23 13:20:24,32.1
2023-04-23 13:25:24,32.6
2023-04-23 13:30:24,31.6
2023-04-23 13:35:24,32.1
2023-04-23 13:40:24,32.1
2023-04-23 13:45:24,32.1
2023-04-23 13:50:24,32.1
2023-04-23 13:55:25,31.1
2023-04-23 14:00:25,32.1
2023-04-23 14:05:25,31.6
2023-04-23 14:10:25,31.1
2023-04-23 14:15:25,31.6
2023-04-23 14:20:25,31.6
2023-04-23 14:25:25,32.1
2023-04-23 14:30:25,33.1
2023-04-23 14:35:25,31.1
2023-04-23 14:40:25,33.1
2023-04-23 14:45:25,32.6
2023-04-23 14:50:25,31.6
2023-04-23 14:55:25,32.1
2023-04-23 15:00:25,32.1
2023-04-23 15:05:25,32.1
2023-04-23 15:10:25,32.1
2023-04-23 15:15:25,32.1
2023-04-23 15:20:25,32.1
2023-04-23 15:25:25,31.6
2023-04-23 15:30:25,32.6
2023-04-23 15:35:25,31.6
2023-04-23 15:40:25,32.6
2023-04-23 15:45:25,32.1
